video_id,title,channel_title,category,publish_time,views,likes,comment_count,tags
vid_0,Video Title 0,StudyIQ Education,Science & Technology,2023-06-10,519377,247727.0,4072.0,"shorts,trending,tutorial"
vid_1,Video Title 1,Sony Music India,News & Politics,2023-06-30,4526845,345973.0,82.0,"music,cricket,vlog"
vid_2,Video Title 2,Ashish Chanchlani Vines,Music,2023-06-02,826533,414703.0,1257.0,"vlog,trending,tutorial"
vid_3,Video Title 3,NDTV,Comedy,2023-05-23,7426526,456656.0,4219.0,"cricket,vlog,tutorial"
vid_4,Video Title 4,MrBeast,People & Blogs,2023-07-10,8013166,346123.0,13147.0,"vlog,trending,funny"
vid_5,Video Title 5,Ashish Chanchlani Vines,Comedy,2023-09-07,1536531,104279.0,18091.0,"shorts,funny,trending"
vid_6,Video Title 6,Technical Guruji,Education,2023-12-14,6148316,473684.0,18781.0,"tutorial,cricket,shorts"
vid_7,Video Title 7,MrBeast,Comedy,2023-03-20,431817,180375.0,15891.0,"cricket,funny,vlog"
vid_8,Video Title 8,NDTV,People & Blogs,2023-05-23,6163,280364.0,4258.0,"funny,music,cricket"
vid_9,Video Title 9,T-Series,Science & Technology,2023-10-02,2106002,91402.0,2769.0,"funny,cricket,tutorial"
vid_10,Video Title 10,Star Sports,Entertainment,2023-06-22,8851210,421113.0,6310.0,"cricket,music,trending"
vid_11,Video Title 11,NDTV,Sports,2023-12-27,8992545,75782.0,14364.0,"cricket,vlog,shorts"
vid_12,Video Title 12,NDTV,Education,2023-09-22,9936403,490278.0,16355.0,"music,trending,tutorial"
vid_13,Video Title 13,T-Series,Travel & Events,2023-02-24,2579165,260939.0,18348.0,"shorts,music,cricket"
vid_14,Video Title 14,Sony Music India,Science & Technology,2023-08-19,63095,17325.0,8095.0,"tutorial,shorts,funny"
vid_15,Video Title 15,NDTV,Science & Technology,2023-07-22,2061601,340416.0,19491.0,"cricket,music,vlog"
vid_16,Video Title 16,Star Sports,Education,2023-08-06,5317897,178391.0,4268.0,"tutorial,shorts,music"
vid_17,Video Title 17,Sony Music India,Travel & Events,2023-06-27,9833462,284048.0,2428.0,"funny,cricket,trending"
vid_18,Video Title 18,Technical Guruji,Comedy,2023-06-04,7949951,239791.0,3281.0,"vlog,cricket,music"
vid_19,Video Title 19,Technical Guruji,News & Politics,2023-11-22,8081969,452322.0,17496.0,"trending,shorts,vlog"
vid_20,Video Title 20,BB Ki Vines,Sports,2023-05-13,7904266,32698.0,16771.0,"funny,vlog,tutorial"
vid_21,Video Title 21,Star Sports,Gaming,2023-12-12,621371,441194.0,9764.0,"vlog,trending,music"
vid_22,Video Title 22,Technical Guruji,Gaming,2023-05-01,2040920,415459.0,16694.0,"shorts,music,trending"
vid_23,Video Title 23,Aaj Tak,Entertainment,2023-07-20,8211431,463957.0,11144.0,"tutorial,trending,funny"
vid_24,Video Title 24,StudyIQ Education,People & Blogs,2023-03-06,8947969,205941.0,12775.0,"vlog,cricket,funny"
vid_25,Video Title 25,BB Ki Vines,Comedy,2023-02-28,6775211,65358.0,10553.0,"trending,tutorial,shorts"
vid_26,Video Title 26,Aaj Tak,Education,2023-08-29,4639547,119516.0,12859.0,"shorts,cricket,funny"
vid_27,Video Title 27,Ashish Chanchlani Vines,Sports,2023-08-05,3508398,133181.0,15874.0,"funny,trending,shorts"
vid_28,Video Title 28,Star Sports,Comedy,2023-03-24,9547538,212901.0,5494.0,"vlog,tutorial,music"
vid_29,Video Title 29,Aaj Tak,Science & Technology,2023-09-02,7284069,29840.0,2171.0,"trending,funny,music"
vid_30,Video Title 30,Technical Guruji,Entertainment,2023-06-26,2310286,452584.0,16231.0,"funny,trending,cricket"
vid_31,Video Title 31,Technical Guruji,Comedy,2023-06-14,2206167,168256.0,16803.0,"tutorial,vlog,shorts"
vid_32,Video Title 32,Ashish Chanchlani Vines,Education,2023-12-23,8223126,156993.0,19454.0,"shorts,tutorial,cricket"
vid_33,Video Title 33,Sony Music India,Entertainment,2023-04-22,7518284,286785.0,9007.0,"trending,music,tutorial"
vid_34,Video Title 34,BB Ki Vines,Science & Technology,2023-11-20,7240427,136064.0,15947.0,"trending,music,shorts"
vid_35,Video Title 35,StudyIQ Education,News & Politics,2023-06-21,4690380,173685.0,14903.0,"vlog,trending,music"
